Region_ID, Region_name, Region_class, Process_ID, Height_mean, Ping_S, Ping_E, Dist_M, Date_M, Time_M, Lat_M, Lon_M, Standard_deviation, Num_targets, TS_mean, Target_range_mean, Speed_4D_mean_unsmoothed, Fish_track_change_in_range, Time_in_beam, Distance_3D_unsmoothed, Thickness_mean, Exclude_below_line_range_mean, Target_depth_mean, Target_depth_max, Target_depth_min, Fish_track_change_in_depth,Site
21," ""Region 21"""," ""38kHz TargetsRedSnapper""",23,0.433619,82,96,0.018156,20191118, 18:31:03.2590,29.93914131,-86.14327811,0.00051943,6,-30.717898,35.600424,2.4062,-0.508675,2.234,5.3754,0.433619,38.360658,35.559718,35.750625,35.304459,-0.446166,Last Leg
22," ""Region 22"""," ""38kHz TargetsRedSnapper""",23,0.409382,94,104,0.020104,20191118, 18:31:04.8240,29.93911988,-86.14325001,8.23E-05,8,-36.681684,36.491427,3.0632,-0.176251,1.548,4.7418,0.409382,38.473836,36.457765,36.612206,36.354955,-0.257252,Last Leg
23," ""Region 23"""," ""38kHz TargetsRedSnapper""",23,0.433619,121,129,0.026224,20191118, 18:31:08.9460,29.93905096,-86.14316353,2.96E-05,5,-36.430305,37.27295,2.7169,-0.070135,1.297,3.5238,0.433619,38.352684,37.232198,37.256984,37.201513,-0.047176,Last Leg
24," ""Region 24"""," ""38kHz TargetsRedSnapper""",23,0.348325,128,139,0.028182,20191118, 18:31:10.2190,29.93903242,-86.14313258,3.45E-05,7,-38.833957,36.014452,3.0878,-0.347118,1.79,5.5272,0.348325,38.522101,35.998281,36.12784,35.751758,-0.376081,Last Leg
25," ""Region 25"""," ""38kHz TargetsRedSnapper""",23,0.433619,137,144,0.029233,20191118, 18:31:11.3610,29.93902242,-86.14311601,1.15E-05,8,-43.454301,35.203241,5.0918,-0.392997,1.147,5.8403,0.433619,38.445524,35.161903,35.389117,34.970064,-0.419053,Last Leg
26," ""Region 26"""," ""38kHz TargetsRedSnapper""",23,0.428435,129,148,0.028447,20191118, 18:31:11.0380,29.93903,-86.14312833,0.000340976,11,-33.321289,36.133504,2.8638,-0.592812,3.069,8.7889,0.428435,38.4587,36.086462,36.425069,35.789763,-0.615253,Last Leg
27," ""Region 27"""," ""38kHz TargetsRedSnapper""",23,0.384619,178,189,0.038097,20191118, 18:31:18.1960,29.93896527,-86.14296235,0.000191589,5,-32.779166,36.448211,1.4111,-0.631956,1.753,2.4737,0.384619,38.170203,36.414314,36.703017,36.070238,-0.632779,Last Leg
28," ""Region 28"""," ""38kHz TargetsRedSnapper""",23,0.401367,183,190,0.038428,20191118, 18:31:18.6630,29.93896483,-86.14295601,0.000366075,8,-30.459168,36.932586,1.8131,-0.307931,1.116,2.0235,0.401367,38.120548,36.881559,37.030903,36.74905,-0.281853,Last Leg
29," ""Region 29"""," ""38kHz VermillionSnap""",23,0.433619,628,636,0.129165,20191118, 18:32:27.4670,29.93876667,-86.14127,3.91E-06,5,-48.279766,34.104346,2.5124,-0.208341,1.186,2.9797,0.433619,38.38096,34.083801,34.170826,33.932649,-0.211945,Last Leg
30," ""Region 30"""," ""38kHz TargetsRedSnapper""",23,0.433619,1761,1774,0.293716,20191118, 18:35:23.4540,29.93899833,-86.14288333,4.08E-05,14,-38.335609,35.368836,2.3936,-0.354305,2.106,5.041,0.433619,37.258374,35.345123,35.520706,35.126684,-0.394022,Last Leg
