VIMSCODE,WorkUp,MODALGRP,PANNUM,SEQNO,SPECIMID,LENGTH (mm TL),LENGTH (mm FL),WEIGHT (kg),EVWGHT (kg),SEX,GONADSTG,MATURITY,GUT_FULL,AGE,CODEAGE,SPCCOMNT,ExpFactWorked,ExpFactMeas,STATION,STATION,SAMPLE_DEPTH (meters),DO (mg/L),Percent Saturation DO,Salinity (PSU),Temperature (0C),ALTSTATN,SEASON,MONTH,YEAR,DATE,TowBegin,TowEnd,DepthBeg (feet),DepthEnd (feet),NMP REGION,DepthStratum,COMPASS,GEAR,NETNUM,ENGRPM_Port,ENGRPM_Stbd,DURATION (min),VSpeedGPS (knots),TowDistTrack (m),NetHeight (m),NetWidth (m),ParCodeNH,ParCodeNW,REGION,LATITUDE_START,LONGITUDE_START,LATITUDE_END,LONGITUDE_END,DOORNUM_Stbd,DOORNUM_Port,CableOut_Stbd (fathom),CableOut_Port (fathom),SCOPE,TOW_DIRECTION_CURRENT,AGENCY_CODE,PROGRAM_CODE,DoorWidth (meters),ParCodeDW,CellSelected,CellFished
7,Full,1,2,1,1,184,182,0.062,,F,A,0,F,0.0001,OT,,11.6,2.948,NM20070901009,NM20070901009,12.19,7.4,97.5,30.89,18.97,,Fall,October,2007,3-Oct-07,6:43,7:03,40,,3,1,269,453,G01,1170,1160,20,3.5,2179.2,5.63,12.11,NM,NM,6,40.64,-73.111,40.634,-73.133,TS1,TP1,60,60,9,3,VIMS,NM,29.6,NM,062-226,062-226
7,Full,1,2,2,2,204,201,0.09,,M,A,0,F,0.0001,OT,,11.6,2.948,NM20070901009,NM20070901009,12.19,7.4,97.5,30.89,18.97,,Fall,October,2007,3-Oct-07,6:43,7:03,40,,3,1,269,453,G01,1170,1160,20,3.5,2179.2,5.63,12.11,NM,NM,6,40.64,-73.111,40.634,-73.133,TS1,TP1,60,60,9,3,VIMS,NM,29.6,NM,062-226,062-226
7,Full,1,2,3,3,139,139,0.03,,M,A,0,F,0.0001,OT,,11.6,2.948,NM20070901009,NM20070901009,12.19,7.4,97.5,30.89,18.97,,Fall,October,2007,3-Oct-07,6:43,7:03,40,,3,1,269,453,G01,1170,1160,20,3.5,2179.2,5.63,12.11,NM,NM,6,40.64,-73.111,40.634,-73.133,TS1,TP1,60,60,9,3,VIMS,NM,29.6,NM,062-226,062-226
7,Full,1,2,4,4,178,176,0.056,,M,A,0,F,0.0001,OT,,11.6,2.948,NM20070901009,NM20070901009,12.19,7.4,97.5,30.89,18.97,,Fall,October,2007,3-Oct-07,6:43,7:03,40,,3,1,269,453,G01,1170,1160,20,3.5,2179.2,5.63,12.11,NM,NM,6,40.64,-73.111,40.634,-73.133,TS1,TP1,60,60,9,3,VIMS,NM,29.6,NM,062-226,062-226
7,Full,1,2,5,5,162,161,0.048,,F,A,0,F,0.0001,OT,,11.6,2.948,NM20070901009,NM20070901009,12.19,7.4,97.5,30.89,18.97,,Fall,October,2007,3-Oct-07,6:43,7:03,40,,3,1,269,453,G01,1170,1160,20,3.5,2179.2,5.63,12.11,NM,NM,6,40.64,-73.111,40.634,-73.133,TS1,TP1,60,60,9,3,VIMS,NM,29.6,NM,062-226,062-226
7,Full,2,2,1,6,380,370,0.756,,M,B,0,F,2,OT,,1,1,NM20070901009,NM20070901009,12.19,7.4,97.5,30.89,18.97,,Fall,October,2007,3-Oct-07,6:43,7:03,40,,3,1,269,453,G01,1170,1160,20,3.5,2179.2,5.63,12.11,NM,NM,6,40.64,-73.111,40.634,-73.133,TS1,TP1,60,60,9,3,VIMS,NM,29.6,NM,062-226,062-226
7,Full,0,2,1,1,163,162,0.046,,F,B,1,F,0.0001,OT,,4,13.25,NM20070901011,NM20070901011,12.19,7.4,97.5,30.89,18.97,,Fall,October,2007,3-Oct-07,8:05,8:25,52,,3,2,319,453,G01,1170,1170,20,3.35,2070.169,5.6,12.79,NM,NM,6,40.63,-73.106,40.63716667,-73.12683333,TS1,TP1,75,75,8.653846154,1,VIMS,NM,32.20955056,NM,061-226,061-226
7,Full,0,2,2,2,178,176,0.056,,F,A,0,F,0.0001,OT,,4,13.25,NM20070901011,NM20070901011,12.19,7.4,97.5,30.89,18.97,,Fall,October,2007,3-Oct-07,8:05,8:25,52,,3,2,319,453,G01,1170,1170,20,3.35,2070.169,5.6,12.79,NM,NM,6,40.63,-73.106,40.63716667,-73.12683333,TS1,TP1,75,75,8.653846154,1,VIMS,NM,32.20955056,NM,061-226,061-226
7,Full,0,2,3,3,141,141,0.032,,M,A,0,F,0.0001,OT,,4,13.25,NM20070901011,NM20070901011,12.19,7.4,97.5,30.89,18.97,,Fall,October,2007,3-Oct-07,8:05,8:25,52,,3,2,319,453,G01,1170,1170,20,3.35,2070.169,5.6,12.79,NM,NM,6,40.63,-73.106,40.63716667,-73.12683333,TS1,TP1,75,75,8.653846154,1,VIMS,NM,32.20955056,NM,061-226,061-226
7,Full,0,2,4,4,158,157,0.044,,F,A,0,F,0.0001,OT,,4,13.25,NM20070901011,NM20070901011,12.19,7.4,97.5,30.89,18.97,,Fall,October,2007,3-Oct-07,8:05,8:25,52,,3,2,319,453,G01,1170,1170,20,3.35,2070.169,5.6,12.79,NM,NM,6,40.63,-73.106,40.63716667,-73.12683333,TS1,TP1,75,75,8.653846154,1,VIMS,NM,32.20955056,NM,061-226,061-226
7,Full,0,2,5,5,158,157,0.042,,F,A,0,F,0.0001,OT,,4,13.25,NM20070901011,NM20070901011,12.19,7.4,97.5,30.89,18.97,,Fall,October,2007,3-Oct-07,8:05,8:25,52,,3,2,319,453,G01,1170,1170,20,3.35,2070.169,5.6,12.79,NM,NM,6,40.63,-73.106,40.63716667,-73.12683333,TS1,TP1,75,75,8.653846154,1,VIMS,NM,32.20955056,NM,061-226,061-226
7,Full,3,2,1,1,484,469,1.27,1.146,M,B,0,F,2,OT,,1,1,NM20070901013,NM20070901013,11.28,6.26,82.9,30.84,20.04,,Fall,October,2007,3-Oct-07,13:19,13:39,30,,4,1,127,453,G01,1260,1230,20,3.05,1880.061,5.67,12.18,NM,NM,6,40.606,-73.38516667,40.60433333,-73.36516667,TS1,TP1,75,75,15,2,VIMS,NM,29.52727273,NM,072-225,072-225
7,Full,2,2,1,2,383,373,0.546,0.512,M,B,0,F,3,OT,,1.4,1,NM20070901013,NM20070901013,11.28,6.26,82.9,30.84,20.04,,Fall,October,2007,3-Oct-07,13:19,13:39,30,,4,1,127,453,G01,1260,1230,20,3.05,1880.061,5.67,12.18,NM,NM,6,40.606,-73.38516667,40.60433333,-73.36516667,TS1,TP1,75,75,15,2,VIMS,NM,29.52727273,NM,072-225,072-225
7,Full,2,2,2,3,347,338,0.424,0.404,F,B,1,F,1,OT,,1.4,1,NM20070901013,NM20070901013,11.28,6.26,82.9,30.84,20.04,,Fall,October,2007,3-Oct-07,13:19,13:39,30,,4,1,127,453,G01,1260,1230,20,3.05,1880.061,5.67,12.18,NM,NM,6,40.606,-73.38516667,40.60433333,-73.36516667,TS1,TP1,75,75,15,2,VIMS,NM,29.52727273,NM,072-225,072-225
7,Full,2,2,3,4,401,390,0.654,0.606,M,B,0,F,2,OT,,1.4,1,NM20070901013,NM20070901013,11.28,6.26,82.9,30.84,20.04,,Fall,October,2007,3-Oct-07,13:19,13:39,30,,4,1,127,453,G01,1260,1230,20,3.05,1880.061,5.67,12.18,NM,NM,6,40.606,-73.38516667,40.60433333,-73.36516667,TS1,TP1,75,75,15,2,VIMS,NM,29.52727273,NM,072-225,072-225
